cifar10 cw | Params={'c': 0.01, 'kappa': 0.1, 'max_iter': 10, 'lr': 0.1} | Acc=0.0032, F1=0.0023, Rec=0.0032, Prec=0.0022
cifar10 cw | Params={'c': 0.02, 'kappa': 0.1, 'max_iter': 10, 'lr': 0.1} | Acc=0.0032, F1=0.0025, Rec=0.0032, Prec=0.0025
cifar10 cw | Params={'c': 0.03, 'kappa': 0.1, 'max_iter': 10, 'lr': 0.1} | Acc=0.0026, F1=0.0019, Rec=0.0026, Prec=0.0019
cifar10 cw | Params={'c': 0.04, 'kappa': 0.1, 'max_iter': 10, 'lr': 0.1} | Acc=0.0020, F1=0.0015, Rec=0.0020, Prec=0.0016
cifar10 cw | Params={'c': 0.05, 'kappa': 0.1, 'max_iter': 10, 'lr': 0.1} | Acc=0.0019, F1=0.0013, Rec=0.0019, Prec=0.0012
cifar10 cw | Params={'c': 0.06, 'kappa': 0.1, 'max_iter': 10, 'lr': 0.1} | Acc=0.0023, F1=0.0017, Rec=0.0023, Prec=0.0018
cifar10 cw | Params={'c': 0.07, 'kappa': 0.1, 'max_iter': 10, 'lr': 0.1} | Acc=0.0016, F1=0.0011, Rec=0.0016, Prec=0.0010
cifar10 cw | Params={'c': 0.08, 'kappa': 0.1, 'max_iter': 10, 'lr': 0.1} | Acc=0.0019, F1=0.0016, Rec=0.0019, Prec=0.0023
cifar10 cw | Params={'c': 0.09, 'kappa': 0.1, 'max_iter': 10, 'lr': 0.1} | Acc=0.0012, F1=0.0010, Rec=0.0012, Prec=0.0016
cifar10 cw | Params={'c': 0.1, 'kappa': 0, 'max_iter': 10, 'lr': 0.01} | Acc=0.0003, F1=0.0002, Rec=0.0003, Prec=0.0002
cifar10 cw | Params={'c': 0.2, 'kappa': 0, 'max_iter': 10, 'lr': 0.01} | Acc=0.0004, F1=0.0004, Rec=0.0004, Prec=0.0003
cifar10 cw | Params={'c': 0.3, 'kappa': 0, 'max_iter': 10, 'lr': 0.01} | Acc=0.0000, F1=0.0000, Rec=0.0000, Prec=0.0000
cifar10 cw | Params={'c': 0.4, 'kappa': 0, 'max_iter': 10, 'lr': 0.01} | Acc=0.0000, F1=0.0000, Rec=0.0000, Prec=0.0000
cifar10 cw | Params={'c': 0.5, 'kappa': 0, 'max_iter': 10, 'lr': 0.01} | Acc=0.0000, F1=0.0000, Rec=0.0000, Prec=0.0000
cifar10 cw | Params={'c': 0.6, 'kappa': 0, 'max_iter': 10, 'lr': 0.01} | Acc=0.0001, F1=0.0001, Rec=0.0001, Prec=0.0001
cifar10 cw | Params={'c': 0.7, 'kappa': 0, 'max_iter': 10, 'lr': 0.01} | Acc=0.0000, F1=0.0000, Rec=0.0000, Prec=0.0000
cifar10 cw | Params={'c': 0.8, 'kappa': 0, 'max_iter': 10, 'lr': 0.01} | Acc=0.0000, F1=0.0000, Rec=0.0000, Prec=0.0000
cifar10 cw | Params={'c': 0.9, 'kappa': 0, 'max_iter': 10, 'lr': 0.01} | Acc=0.0000, F1=0.0000, Rec=0.0000, Prec=0.0000
cifar10 cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.01} | Acc=0.0002, F1=0.0002, Rec=0.0002, Prec=0.0001
cifar10 cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.02} | Acc=0.0010, F1=0.0010, Rec=0.0010, Prec=0.0011
cifar10 cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.03} | Acc=0.0018, F1=0.0015, Rec=0.0018, Prec=0.0014
cifar10 cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.04} | Acc=0.0030, F1=0.0022, Rec=0.0030, Prec=0.0020
cifar10 cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.05} | Acc=0.0032, F1=0.0023, Rec=0.0032, Prec=0.0019
cifar10 cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.06} | Acc=0.0036, F1=0.0028, Rec=0.0036, Prec=0.0028
cifar10 cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.07} | Acc=0.0038, F1=0.0028, Rec=0.0038, Prec=0.0030
cifar10 cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.08} | Acc=0.0048, F1=0.0039, Rec=0.0048, Prec=0.0044
