cifar10 deepfool | Params={} | Acc=0.8361, F1=0.8362, Rec=0.8361, Prec=0.8375
cifar10 deepfool | Params={'overshoot': 0.02, 'max_iter': 10} | Acc=0.8361, F1=0.8362, Rec=0.8361, Prec=0.8375
cifar10 deepfool | Params={'overshoot': 0.01, 'max_iter': 10} | Acc=0.8351, F1=0.8353, Rec=0.8351, Prec=0.8366
cifar10 deepfool | Params={'overshoot': 0.02, 'max_iter': 10} | Acc=0.8361, F1=0.8362, Rec=0.8361, Prec=0.8375
cifar10 deepfool | Params={'overshoot': 0.03, 'max_iter': 10} | Acc=0.8299, F1=0.8302, Rec=0.8299, Prec=0.8318
cifar10 deepfool | Params={'overshoot': 0.04, 'max_iter': 10} | Acc=0.8212, F1=0.8215, Rec=0.8212, Prec=0.8233
cifar10 deepfool | Params={'overshoot': 0.05, 'max_iter': 10} | Acc=0.8101, F1=0.8104, Rec=0.8101, Prec=0.8122
cifar10 deepfool | Params={'overshoot': 0.06, 'max_iter': 10} | Acc=0.8009, F1=0.8013, Rec=0.8009, Prec=0.8032
cifar10 deepfool | Params={'overshoot': 0.07, 'max_iter': 10} | Acc=0.7898, F1=0.7902, Rec=0.7898, Prec=0.7923
cifar10 deepfool | Params={'overshoot': 0.08, 'max_iter': 10} | Acc=0.7762, F1=0.7768, Rec=0.7762, Prec=0.7793
cifar10 deepfool | Params={'overshoot': 0.09, 'max_iter': 10} | Acc=0.7607, F1=0.7616, Rec=0.7607, Prec=0.7646
cifar10 deepfool | Params={'overshoot': 0.1, 'max_iter': 10} | Acc=0.7457, F1=0.7467, Rec=0.7457, Prec=0.7498
cifar10 deepfool | Params={'overshoot': 0.2, 'max_iter': 10} | Acc=0.6007, F1=0.6031, Rec=0.6007, Prec=0.6100
cifar10 deepfool | Params={'overshoot': 0.1, 'max_iter': 10} | Acc=0.7457, F1=0.7467, Rec=0.7457, Prec=0.7498
cifar10 deepfool | Params={'overshoot': 0.2, 'max_iter': 10} | Acc=0.6007, F1=0.6031, Rec=0.6007, Prec=0.6100
cifar10 deepfool | Params={'overshoot': 0.3, 'max_iter': 10} | Acc=0.4708, F1=0.4746, Rec=0.4708, Prec=0.4852
cifar10 deepfool | Params={'overshoot': 0.4, 'max_iter': 10} | Acc=0.3710, F1=0.3753, Rec=0.3710, Prec=0.3875
cifar10 deepfool | Params={'overshoot': 0.5, 'max_iter': 10} | Acc=0.2979, F1=0.3021, Rec=0.2979, Prec=0.3141
cifar10 deepfool | Params={'overshoot': 0.6, 'max_iter': 10} | Acc=0.2481, F1=0.2520, Rec=0.2481, Prec=0.2638
cifar10 deepfool | Params={'overshoot': 0.7, 'max_iter': 10} | Acc=0.2114, F1=0.2141, Rec=0.2114, Prec=0.2248
cifar10 deepfool | Params={'overshoot': 0.8, 'max_iter': 10} | Acc=0.1813, F1=0.1833, Rec=0.1813, Prec=0.1930
cifar10 deepfool | Params={'overshoot': 0.9, 'max_iter': 10} | Acc=0.1623, F1=0.1638, Rec=0.1623, Prec=0.1725
cifar10 deepfool | Params={'overshoot': 1, 'max_iter': 10} | Acc=0.1470, F1=0.1480, Rec=0.1470, Prec=0.1559
cifar10 deepfool | Params={'overshoot': 2, 'max_iter': 10} | Acc=0.1070, F1=0.1064, Rec=0.1070, Prec=0.1115
cifar10 deepfool | Params={'overshoot': 3, 'max_iter': 10} | Acc=0.0998, F1=0.0988, Rec=0.0998, Prec=0.1035
cifar10 deepfool | Params={'overshoot': 4, 'max_iter': 10} | Acc=0.0990, F1=0.0979, Rec=0.0990, Prec=0.1026
cifar10 deepfool | Params={'overshoot': 5, 'max_iter': 10} | Acc=0.0987, F1=0.0976, Rec=0.0987, Prec=0.1022
cifar10 deepfool | Params={'overshoot': 6, 'max_iter': 10} | Acc=0.0993, F1=0.0983, Rec=0.0993, Prec=0.1030
cifar10 deepfool | Params={'overshoot': 7, 'max_iter': 10} | Acc=0.0993, F1=0.0984, Rec=0.0993, Prec=0.1031
cifar10 deepfool | Params={'overshoot': 8, 'max_iter': 10} | Acc=0.0997, F1=0.0988, Rec=0.0997, Prec=0.1035
cifar10 deepfool | Params={'overshoot': 9, 'max_iter': 10} | Acc=0.1004, F1=0.0996, Rec=0.1004, Prec=0.1044
cifar10 deepfool | Params={'overshoot': 0.2, 'max_iter': 10} | Acc=0.6007, F1=0.6031, Rec=0.6007, Prec=0.6100
cifar10 deepfool | Params={'overshoot': 0.2, 'max_iter': 10} | Acc=0.6007, F1=0.6031, Rec=0.6007, Prec=0.6100
