cifar10 fgsm | Params={'epsilon': 0.03} | Acc=0.0497, F1=0.0518, Rec=0.0497, Prec=0.0612
cifar10 fgsm | Params={'epsilon': 0.03} | Acc=0.0497, F1=0.0518, Rec=0.0497, Prec=0.0612
cifar10 fgsm | Params={'epsilon': 0.001} | Acc=0.5948, F1=0.5961, Rec=0.5948, Prec=0.6029
cifar10 fgsm | Params={'epsilon': 0.002} | Acc=0.3865, F1=0.3910, Rec=0.3865, Prec=0.4030
cifar10 fgsm | Params={'epsilon': 0.003} | Acc=0.2548, F1=0.2609, Rec=0.2548, Prec=0.2744
cifar10 fgsm | Params={'epsilon': 0.004} | Acc=0.1763, F1=0.1816, Rec=0.1763, Prec=0.1945
cifar10 fgsm | Params={'epsilon': 0.005} | Acc=0.1368, F1=0.1415, Rec=0.1368, Prec=0.1532
cifar10 fgsm | Params={'epsilon': 0.006} | Acc=0.1185, F1=0.1228, Rec=0.1185, Prec=0.1336
cifar10 fgsm | Params={'epsilon': 0.007} | Acc=0.1060, F1=0.1103, Rec=0.1060, Prec=0.1207
cifar10 fgsm | Params={'epsilon': 0.008} | Acc=0.0975, F1=0.1015, Rec=0.0975, Prec=0.1116
cifar10 fgsm | Params={'epsilon': 0.009} | Acc=0.0913, F1=0.0951, Rec=0.0913, Prec=0.1048
cifar10 fgsm | Params={'epsilon': 0.01} | Acc=0.0847, F1=0.0883, Rec=0.0847, Prec=0.0976
cifar10 fgsm | Params={'epsilon': 0.02} | Acc=0.0553, F1=0.0588, Rec=0.0553, Prec=0.0678
cifar10 fgsm | Params={'epsilon': 0.03} | Acc=0.0497, F1=0.0518, Rec=0.0497, Prec=0.0612
cifar10 fgsm | Params={'epsilon': 0.04} | Acc=0.0483, F1=0.0494, Rec=0.0483, Prec=0.0610
cifar10 fgsm | Params={'epsilon': 0.05} | Acc=0.0528, F1=0.0512, Rec=0.0528, Prec=0.0652
cifar10 fgsm | Params={'epsilon': 0.06} | Acc=0.0574, F1=0.0524, Rec=0.0574, Prec=0.0717
cifar10 fgsm | Params={'epsilon': 0.07} | Acc=0.0634, F1=0.0554, Rec=0.0634, Prec=0.0827
cifar10 fgsm | Params={'epsilon': 0.08} | Acc=0.0666, F1=0.0549, Rec=0.0666, Prec=0.0854
cifar10 fgsm | Params={'epsilon': 0.09} | Acc=0.0701, F1=0.0553, Rec=0.0701, Prec=0.0898
cifar10 fgsm | Params={'epsilon': 0.1} | Acc=0.0711, F1=0.0546, Rec=0.0711, Prec=0.1044
cifar10 fgsm | Params={'epsilon': 0.0001} | Acc=0.8255, F1=0.8255, Rec=0.8255, Prec=0.8271
cifar10 fgsm | Params={'epsilon': 0.0002} | Acc=0.8008, F1=0.8009, Rec=0.8008, Prec=0.8028
cifar10 fgsm | Params={'epsilon': 0.0003} | Acc=0.7769, F1=0.7771, Rec=0.7769, Prec=0.7794
cifar10 fgsm | Params={'epsilon': 0.0004} | Acc=0.7516, F1=0.7521, Rec=0.7516, Prec=0.7551
cifar10 fgsm | Params={'epsilon': 0.0005} | Acc=0.7250, F1=0.7256, Rec=0.7250, Prec=0.7293
cifar10 fgsm | Params={'epsilon': 0.0006} | Acc=0.6996, F1=0.7004, Rec=0.6996, Prec=0.7047
cifar10 fgsm | Params={'epsilon': 0.0007} | Acc=0.6715, F1=0.6725, Rec=0.6715, Prec=0.6777
cifar10 fgsm | Params={'epsilon': 0.0008} | Acc=0.6435, F1=0.6446, Rec=0.6435, Prec=0.6503
cifar10 fgsm | Params={'epsilon': 0.0009} | Acc=0.6190, F1=0.6202, Rec=0.6190, Prec=0.6267
cifar10 fgsm | Params={'epsilon': 0.1} | Acc=0.0711, F1=0.0546, Rec=0.0711, Prec=0.1044
cifar10 fgsm | Params={'epsilon': 0.2} | Acc=0.0944, F1=0.0595, Rec=0.0944, Prec=0.0780
cifar10 fgsm | Params={'epsilon': 0.3} | Acc=0.1008, F1=0.0561, Rec=0.1008, Prec=0.0610
cifar10 fgsm | Params={'epsilon': 0.4} | Acc=0.0962, F1=0.0462, Rec=0.0962, Prec=0.0499
cifar10 fgsm | Params={'epsilon': 0.5} | Acc=0.0962, F1=0.0415, Rec=0.0962, Prec=0.0486
cifar10 fgsm | Params={'epsilon': 0.6} | Acc=0.0953, F1=0.0375, Rec=0.0953, Prec=0.0444
cifar10 fgsm | Params={'epsilon': 0.7} | Acc=0.0967, F1=0.0360, Rec=0.0967, Prec=0.0415
cifar10 fgsm | Params={'epsilon': 0.8} | Acc=0.0984, F1=0.0372, Rec=0.0984, Prec=0.0455
cifar10 fgsm | Params={'epsilon': 0.9} | Acc=0.0996, F1=0.0379, Rec=0.0996, Prec=0.0511
cifar10 fgsm | Params={'epsilon': 0.001} | Acc=0.5948, F1=0.5961, Rec=0.5948, Prec=0.6029
cifar10 fgsm | Params={'epsilon': 0.001} | Acc=0.5948, F1=0.5961, Rec=0.5948, Prec=0.6029
