cifar10 pgd | Params={'epsilon': 0.03, 'alpha': 0.005, 'iters': 20} | Acc=0.0000, F1=0.0000, Rec=0.0000, Prec=0.0000
cifar10 pgd | Params={'epsilon': 0.0001, 'alpha': 0.005, 'iters': 10} | Acc=0.8254, F1=0.8254, Rec=0.8254, Prec=0.8270
cifar10 pgd | Params={'epsilon': 0.001, 'alpha': 0.005, 'iters': 10} | Acc=0.5903, F1=0.5907, Rec=0.5903, Prec=0.5965
cifar10 pgd | Params={'epsilon': 0.002, 'alpha': 0.005, 'iters': 10} | Acc=0.3919, F1=0.3955, Rec=0.3919, Prec=0.4059
cifar10 pgd | Params={'epsilon': 0.003, 'alpha': 0.006, 'iters': 10} | Acc=0.2721, F1=0.2772, Rec=0.2721, Prec=0.2891
cifar10 pgd | Params={'epsilon': 0.004, 'alpha': 0.006, 'iters': 10} | Acc=0.1237, F1=0.1282, Rec=0.1237, Prec=0.1392
cifar10 pgd | Params={'epsilon': 0.005, 'alpha': 0.006, 'iters': 10} | Acc=0.0526, F1=0.0548, Rec=0.0526, Prec=0.0613
cifar10 pgd | Params={'epsilon': 0.006, 'alpha': 0.006, 'iters': 10} | Acc=0.0186, F1=0.0193, Rec=0.0186, Prec=0.0216
cifar10 pgd | Params={'epsilon': 0.007, 'alpha': 0.006, 'iters': 10} | Acc=0.0069, F1=0.0071, Rec=0.0069, Prec=0.0079
cifar10 pgd | Params={'epsilon': 0.008, 'alpha': 0.006, 'iters': 10} | Acc=0.0030, F1=0.0030, Rec=0.0030, Prec=0.0033
cifar10 pgd | Params={'epsilon': 0.009, 'alpha': 0.006, 'iters': 10} | Acc=0.0007, F1=0.0007, Rec=0.0007, Prec=0.0009
cifar10 pgd | Params={'epsilon': 0.01, 'alpha': 0.006, 'iters': 10} | Acc=0.0002, F1=0.0002, Rec=0.0002, Prec=0.0002
cifar10 pgd | Params={'epsilon': 0.02, 'alpha': 0.006, 'iters': 10} | Acc=0.0000, F1=0.0000, Rec=0.0000, Prec=0.0000
cifar10 pgd | Params={'epsilon': 0.03, 'alpha': 0.006, 'iters': 10} | Acc=0.0000, F1=0.0000, Rec=0.0000, Prec=0.0000
cifar10 pgd | Params={'epsilon': 0.04, 'alpha': 0.006, 'iters': 10} | Acc=0.0000, F1=0.0000, Rec=0.0000, Prec=0.0000
cifar10 pgd | Params={'epsilon': 0.05, 'alpha': 0.006, 'iters': 10} | Acc=0.0000, F1=0.0000, Rec=0.0000, Prec=0.0000
cifar10 pgd | Params={'epsilon': 0.06, 'alpha': 0.006, 'iters': 10} | Acc=0.0000, F1=0.0000, Rec=0.0000, Prec=0.0000
cifar10 pgd | Params={'epsilon': 0.07, 'alpha': 0.006, 'iters': 10} | Acc=0.0000, F1=0.0000, Rec=0.0000, Prec=0.0000
cifar10 pgd | Params={'epsilon': 0.08, 'alpha': 0.006, 'iters': 10} | Acc=0.0000, F1=0.0000, Rec=0.0000, Prec=0.0000
cifar10 pgd | Params={'epsilon': 0.09, 'alpha': 0.006, 'iters': 10} | Acc=0.0000, F1=0.0000, Rec=0.0000, Prec=0.0000
cifar10 pgd | Params={'epsilon': 0.1, 'alpha': 0.006, 'iters': 10} | Acc=0.0000, F1=0.0000, Rec=0.0000, Prec=0.0000
cifar10 pgd | Params={'epsilon': 0.0001, 'alpha': 0.006, 'iters': 10} | Acc=0.8254, F1=0.8254, Rec=0.8254, Prec=0.8270
cifar10 pgd | Params={'epsilon': 0.0002, 'alpha': 0.006, 'iters': 10} | Acc=0.8003, F1=0.8004, Rec=0.8003, Prec=0.8022
cifar10 pgd | Params={'epsilon': 0.0003, 'alpha': 0.006, 'iters': 10} | Acc=0.7756, F1=0.7757, Rec=0.7756, Prec=0.7781
cifar10 pgd | Params={'epsilon': 0.0004, 'alpha': 0.006, 'iters': 10} | Acc=0.7496, F1=0.7499, Rec=0.7496, Prec=0.7529
