mnist cw | Params={'c': 0.01, 'kappa': 0.1, 'max_iter': 10, 'lr': 0.1} | Acc=0.5588, F1=0.5548, Rec=0.5560, Prec=0.5641
mnist cw | Params={'c': 0.02, 'kappa': 0.1, 'max_iter': 10, 'lr': 0.1} | Acc=0.5588, F1=0.5548, Rec=0.5560, Prec=0.5641
mnist cw | Params={'c': 0.03, 'kappa': 0.1, 'max_iter': 10, 'lr': 0.1} | Acc=0.5590, F1=0.5549, Rec=0.5562, Prec=0.5642
mnist cw | Params={'c': 0.04, 'kappa': 0.1, 'max_iter': 10, 'lr': 0.1} | Acc=0.5587, F1=0.5546, Rec=0.5559, Prec=0.5639
mnist cw | Params={'c': 0.05, 'kappa': 0.1, 'max_iter': 10, 'lr': 0.1} | Acc=0.5589, F1=0.5548, Rec=0.5561, Prec=0.5640
mnist cw | Params={'c': 0.06, 'kappa': 0.1, 'max_iter': 10, 'lr': 0.1} | Acc=0.5592, F1=0.5552, Rec=0.5564, Prec=0.5644
mnist cw | Params={'c': 0.07, 'kappa': 0.1, 'max_iter': 10, 'lr': 0.1} | Acc=0.5593, F1=0.5553, Rec=0.5565, Prec=0.5646
mnist cw | Params={'c': 0.08, 'kappa': 0.1, 'max_iter': 10, 'lr': 0.1} | Acc=0.5594, F1=0.5554, Rec=0.5566, Prec=0.5646
mnist cw | Params={'c': 0.09, 'kappa': 0.1, 'max_iter': 10, 'lr': 0.1} | Acc=0.5594, F1=0.5554, Rec=0.5566, Prec=0.5646
mnist cw | Params={'c': 0.1, 'kappa': 0, 'max_iter': 10, 'lr': 0.01} | Acc=0.9758, F1=0.9755, Rec=0.9755, Prec=0.9756
mnist cw | Params={'c': 0.2, 'kappa': 0, 'max_iter': 10, 'lr': 0.01} | Acc=0.9758, F1=0.9755, Rec=0.9755, Prec=0.9756
mnist cw | Params={'c': 0.3, 'kappa': 0, 'max_iter': 10, 'lr': 0.01} | Acc=0.9758, F1=0.9755, Rec=0.9755, Prec=0.9756
mnist cw | Params={'c': 0.4, 'kappa': 0, 'max_iter': 10, 'lr': 0.01} | Acc=0.9758, F1=0.9755, Rec=0.9755, Prec=0.9756
mnist cw | Params={'c': 0.5, 'kappa': 0, 'max_iter': 10, 'lr': 0.01} | Acc=0.9758, F1=0.9755, Rec=0.9755, Prec=0.9756
mnist cw | Params={'c': 0.6, 'kappa': 0, 'max_iter': 10, 'lr': 0.01} | Acc=0.9758, F1=0.9755, Rec=0.9755, Prec=0.9756
mnist cw | Params={'c': 0.7, 'kappa': 0, 'max_iter': 10, 'lr': 0.01} | Acc=0.9758, F1=0.9755, Rec=0.9755, Prec=0.9756
mnist cw | Params={'c': 0.8, 'kappa': 0, 'max_iter': 10, 'lr': 0.01} | Acc=0.9758, F1=0.9755, Rec=0.9755, Prec=0.9756
mnist cw | Params={'c': 0.9, 'kappa': 0, 'max_iter': 10, 'lr': 0.01} | Acc=0.9758, F1=0.9755, Rec=0.9755, Prec=0.9756
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.01} | Acc=0.9758, F1=0.9755, Rec=0.9755, Prec=0.9756
mnist cw | Params={'c': 0.01, 'kappa': 0, 'max_iter': 10, 'lr': 0.02} | Acc=0.9587, F1=0.9582, Rec=0.9582, Prec=0.9584
