mnist deepfool | Params={} | Acc=0.9706, F1=0.9703, Rec=0.9704, Prec=0.9706
mnist deepfool | Params={'overshoot': 0.02, 'max_iter': 10} | Acc=0.9713, F1=0.9710, Rec=0.9712, Prec=0.9713
mnist deepfool | Params={'overshoot': 0.01, 'max_iter': 10} | Acc=0.9719, F1=0.9716, Rec=0.9718, Prec=0.9719
mnist deepfool | Params={'overshoot': 0.02, 'max_iter': 10} | Acc=0.9713, F1=0.9710, Rec=0.9712, Prec=0.9713
mnist deepfool | Params={'overshoot': 0.03, 'max_iter': 10} | Acc=0.9712, F1=0.9709, Rec=0.9710, Prec=0.9713
mnist deepfool | Params={'overshoot': 0.04, 'max_iter': 10} | Acc=0.9732, F1=0.9730, Rec=0.9731, Prec=0.9732
mnist deepfool | Params={'overshoot': 0.05, 'max_iter': 10} | Acc=0.9718, F1=0.9715, Rec=0.9716, Prec=0.9718
mnist deepfool | Params={'overshoot': 0.06, 'max_iter': 10} | Acc=0.9716, F1=0.9713, Rec=0.9714, Prec=0.9716
mnist deepfool | Params={'overshoot': 0.07, 'max_iter': 10} | Acc=0.9718, F1=0.9715, Rec=0.9716, Prec=0.9718
mnist deepfool | Params={'overshoot': 0.08, 'max_iter': 10} | Acc=0.9711, F1=0.9708, Rec=0.9709, Prec=0.9710
mnist deepfool | Params={'overshoot': 0.09, 'max_iter': 10} | Acc=0.9713, F1=0.9710, Rec=0.9712, Prec=0.9714
mnist deepfool | Params={'overshoot': 0.1, 'max_iter': 10} | Acc=0.9702, F1=0.9699, Rec=0.9700, Prec=0.9703
mnist deepfool | Params={'overshoot': 0.2, 'max_iter': 10} | Acc=0.9724, F1=0.9721, Rec=0.9723, Prec=0.9723
mnist deepfool | Params={'overshoot': 0.1, 'max_iter': 10} | Acc=0.9702, F1=0.9699, Rec=0.9700, Prec=0.9703
mnist deepfool | Params={'overshoot': 0.2, 'max_iter': 10} | Acc=0.9724, F1=0.9721, Rec=0.9723, Prec=0.9723
mnist deepfool | Params={'overshoot': 0.3, 'max_iter': 10} | Acc=0.9678, F1=0.9674, Rec=0.9676, Prec=0.9679
mnist deepfool | Params={'overshoot': 0.4, 'max_iter': 10} | Acc=0.9549, F1=0.9541, Rec=0.9545, Prec=0.9550
mnist deepfool | Params={'overshoot': 0.5, 'max_iter': 10} | Acc=0.9464, F1=0.9456, Rec=0.9459, Prec=0.9465
mnist deepfool | Params={'overshoot': 0.6, 'max_iter': 10} | Acc=0.9270, F1=0.9257, Rec=0.9263, Prec=0.9273
mnist deepfool | Params={'overshoot': 0.7, 'max_iter': 10} | Acc=0.9041, F1=0.9022, Rec=0.9030, Prec=0.9046
mnist deepfool | Params={'overshoot': 0.8, 'max_iter': 10} | Acc=0.8758, F1=0.8732, Rec=0.8744, Prec=0.8768
mnist deepfool | Params={'overshoot': 0.9, 'max_iter': 10} | Acc=0.8456, F1=0.8426, Rec=0.8440, Prec=0.8475
mnist deepfool | Params={'overshoot': 1, 'max_iter': 10} | Acc=0.8136, F1=0.8099, Rec=0.8115, Prec=0.8155
mnist deepfool | Params={'overshoot': 2, 'max_iter': 10} | Acc=0.5371, F1=0.5340, Rec=0.5330, Prec=0.5470
mnist deepfool | Params={'overshoot': 3, 'max_iter': 10} | Acc=0.3773, F1=0.3816, Rec=0.3742, Prec=0.4076
mnist deepfool | Params={'overshoot': 4, 'max_iter': 10} | Acc=0.2898, F1=0.2982, Rec=0.2880, Prec=0.3361
mnist deepfool | Params={'overshoot': 5, 'max_iter': 10} | Acc=0.2408, F1=0.2492, Rec=0.2403, Prec=0.2951
mnist deepfool | Params={'overshoot': 6, 'max_iter': 10} | Acc=0.2062, F1=0.2128, Rec=0.2066, Prec=0.2639
mnist deepfool | Params={'overshoot': 7, 'max_iter': 10} | Acc=0.1841, F1=0.1874, Rec=0.1849, Prec=0.2400
mnist deepfool | Params={'overshoot': 8, 'max_iter': 10} | Acc=0.1672, F1=0.1679, Rec=0.1681, Prec=0.2195
mnist deepfool | Params={'overshoot': 9, 'max_iter': 10} | Acc=0.1566, F1=0.1551, Rec=0.1575, Prec=0.2089
