mnist fgsm | Params={'epsilon': 0.03} | Acc=0.9615, F1=0.9611, Rec=0.9611, Prec=0.9613
mnist fgsm | Params={'epsilon': 0.03} | Acc=0.9615, F1=0.9611, Rec=0.9611, Prec=0.9613
mnist fgsm | Params={'epsilon': 0.001} | Acc=0.9890, F1=0.9889, Rec=0.9890, Prec=0.9889
mnist fgsm | Params={'epsilon': 0.002} | Acc=0.9886, F1=0.9885, Rec=0.9886, Prec=0.9885
mnist fgsm | Params={'epsilon': 0.003} | Acc=0.9876, F1=0.9875, Rec=0.9876, Prec=0.9875
mnist fgsm | Params={'epsilon': 0.004} | Acc=0.9871, F1=0.9870, Rec=0.9871, Prec=0.9870
mnist fgsm | Params={'epsilon': 0.005} | Acc=0.9863, F1=0.9862, Rec=0.9862, Prec=0.9862
mnist fgsm | Params={'epsilon': 0.006} | Acc=0.9850, F1=0.9849, Rec=0.9849, Prec=0.9849
mnist fgsm | Params={'epsilon': 0.007} | Acc=0.9844, F1=0.9843, Rec=0.9843, Prec=0.9843
mnist fgsm | Params={'epsilon': 0.008} | Acc=0.9834, F1=0.9833, Rec=0.9833, Prec=0.9833
mnist fgsm | Params={'epsilon': 0.009} | Acc=0.9824, F1=0.9823, Rec=0.9823, Prec=0.9823
mnist fgsm | Params={'epsilon': 0.01} | Acc=0.9818, F1=0.9817, Rec=0.9817, Prec=0.9817
mnist fgsm | Params={'epsilon': 0.02} | Acc=0.9718, F1=0.9715, Rec=0.9715, Prec=0.9717
mnist fgsm | Params={'epsilon': 0.03} | Acc=0.9615, F1=0.9611, Rec=0.9611, Prec=0.9613
mnist fgsm | Params={'epsilon': 0.04} | Acc=0.9503, F1=0.9497, Rec=0.9497, Prec=0.9499
mnist fgsm | Params={'epsilon': 0.05} | Acc=0.9366, F1=0.9359, Rec=0.9359, Prec=0.9361
mnist fgsm | Params={'epsilon': 0.06} | Acc=0.9239, F1=0.9230, Rec=0.9231, Prec=0.9233
mnist fgsm | Params={'epsilon': 0.07} | Acc=0.9089, F1=0.9078, Rec=0.9081, Prec=0.9084
mnist fgsm | Params={'epsilon': 0.08} | Acc=0.8910, F1=0.8898, Rec=0.8901, Prec=0.8909
mnist fgsm | Params={'epsilon': 0.09} | Acc=0.8689, F1=0.8673, Rec=0.8677, Prec=0.8692
mnist fgsm | Params={'epsilon': 0.1} | Acc=0.8500, F1=0.8481, Rec=0.8487, Prec=0.8509
mnist fgsm | Params={'epsilon': 0.0001} | Acc=0.9899, F1=0.9898, Rec=0.9899, Prec=0.9899
mnist fgsm | Params={'epsilon': 0.0002} | Acc=0.9897, F1=0.9896, Rec=0.9897, Prec=0.9896
mnist fgsm | Params={'epsilon': 0.0003} | Acc=0.9897, F1=0.9896, Rec=0.9897, Prec=0.9896
mnist fgsm | Params={'epsilon': 0.0004} | Acc=0.9895, F1=0.9894, Rec=0.9895, Prec=0.9894
mnist fgsm | Params={'epsilon': 0.0005} | Acc=0.9895, F1=0.9894, Rec=0.9895, Prec=0.9894
mnist fgsm | Params={'epsilon': 0.0006} | Acc=0.9895, F1=0.9894, Rec=0.9895, Prec=0.9894
mnist fgsm | Params={'epsilon': 0.0007} | Acc=0.9895, F1=0.9894, Rec=0.9895, Prec=0.9894
mnist fgsm | Params={'epsilon': 0.0008} | Acc=0.9892, F1=0.9891, Rec=0.9892, Prec=0.9891
mnist fgsm | Params={'epsilon': 0.0009} | Acc=0.9892, F1=0.9891, Rec=0.9892, Prec=0.9891
mnist fgsm | Params={'epsilon': 0.1} | Acc=0.8500, F1=0.8481, Rec=0.8487, Prec=0.8509
mnist fgsm | Params={'epsilon': 0.2} | Acc=0.6247, F1=0.6199, Rec=0.6230, Prec=0.6317
mnist fgsm | Params={'epsilon': 0.3} | Acc=0.4169, F1=0.4186, Rec=0.4173, Prec=0.4518
mnist fgsm | Params={'epsilon': 0.4} | Acc=0.2737, F1=0.2741, Rec=0.2757, Prec=0.3285
mnist fgsm | Params={'epsilon': 0.5} | Acc=0.1909, F1=0.1844, Rec=0.1933, Prec=0.2504
mnist fgsm | Params={'epsilon': 0.6} | Acc=0.1447, F1=0.1278, Rec=0.1472, Prec=0.2085
mnist fgsm | Params={'epsilon': 0.7} | Acc=0.1198, F1=0.0904, Rec=0.1225, Prec=0.1726
mnist fgsm | Params={'epsilon': 0.8} | Acc=0.1085, F1=0.0716, Rec=0.1113, Prec=0.1500
mnist fgsm | Params={'epsilon': 0.9} | Acc=0.1077, F1=0.0655, Rec=0.1107, Prec=0.1300
