mnist pgd | Params={'epsilon': 0.03, 'alpha': 0.005, 'iters': 20} | Acc=0.9503, F1=0.9498, Rec=0.9497, Prec=0.9500
mnist pgd | Params={'epsilon': 0.0001, 'alpha': 0.005, 'iters': 10} | Acc=0.9899, F1=0.9898, Rec=0.9899, Prec=0.9899
mnist pgd | Params={'epsilon': 0.001, 'alpha': 0.005, 'iters': 10} | Acc=0.9890, F1=0.9889, Rec=0.9890, Prec=0.9889
mnist pgd | Params={'epsilon': 0.002, 'alpha': 0.005, 'iters': 10} | Acc=0.9886, F1=0.9885, Rec=0.9886, Prec=0.9885
mnist pgd | Params={'epsilon': 0.003, 'alpha': 0.006, 'iters': 10} | Acc=0.9878, F1=0.9877, Rec=0.9878, Prec=0.9877
mnist pgd | Params={'epsilon': 0.004, 'alpha': 0.006, 'iters': 10} | Acc=0.9871, F1=0.9870, Rec=0.9871, Prec=0.9870
mnist pgd | Params={'epsilon': 0.005, 'alpha': 0.006, 'iters': 10} | Acc=0.9863, F1=0.9862, Rec=0.9862, Prec=0.9862
mnist pgd | Params={'epsilon': 0.006, 'alpha': 0.006, 'iters': 10} | Acc=0.9850, F1=0.9849, Rec=0.9850, Prec=0.9849
mnist pgd | Params={'epsilon': 0.007, 'alpha': 0.006, 'iters': 10} | Acc=0.9843, F1=0.9842, Rec=0.9842, Prec=0.9842
mnist pgd | Params={'epsilon': 0.008, 'alpha': 0.006, 'iters': 10} | Acc=0.9833, F1=0.9832, Rec=0.9832, Prec=0.9832
mnist pgd | Params={'epsilon': 0.009, 'alpha': 0.006, 'iters': 10} | Acc=0.9823, F1=0.9822, Rec=0.9822, Prec=0.9822
mnist pgd | Params={'epsilon': 0.01, 'alpha': 0.006, 'iters': 10} | Acc=0.9810, F1=0.9808, Rec=0.9808, Prec=0.9809
mnist pgd | Params={'epsilon': 0.02, 'alpha': 0.006, 'iters': 10} | Acc=0.9688, F1=0.9685, Rec=0.9684, Prec=0.9687
mnist pgd | Params={'epsilon': 0.03, 'alpha': 0.006, 'iters': 10} | Acc=0.9513, F1=0.9508, Rec=0.9508, Prec=0.9510
mnist pgd | Params={'epsilon': 0.04, 'alpha': 0.006, 'iters': 10} | Acc=0.9304, F1=0.9296, Rec=0.9297, Prec=0.9299
mnist pgd | Params={'epsilon': 0.05, 'alpha': 0.006, 'iters': 10} | Acc=0.9060, F1=0.9050, Rec=0.9052, Prec=0.9053
mnist pgd | Params={'epsilon': 0.06, 'alpha': 0.006, 'iters': 10} | Acc=0.8843, F1=0.8831, Rec=0.8834, Prec=0.8838
mnist pgd | Params={'epsilon': 0.07, 'alpha': 0.006, 'iters': 10} | Acc=0.8689, F1=0.8678, Rec=0.8681, Prec=0.8687
mnist pgd | Params={'epsilon': 0.08, 'alpha': 0.006, 'iters': 10} | Acc=0.8540, F1=0.8529, Rec=0.8532, Prec=0.8545
mnist pgd | Params={'epsilon': 0.09, 'alpha': 0.006, 'iters': 10} | Acc=0.8407, F1=0.8395, Rec=0.8399, Prec=0.8414
mnist pgd | Params={'epsilon': 0.1, 'alpha': 0.006, 'iters': 10} | Acc=0.8302, F1=0.8292, Rec=0.8296, Prec=0.8317
mnist pgd | Params={'epsilon': 0.0001, 'alpha': 0.006, 'iters': 10} | Acc=0.9899, F1=0.9898, Rec=0.9899, Prec=0.9899
mnist pgd | Params={'epsilon': 0.0002, 'alpha': 0.006, 'iters': 10} | Acc=0.9897, F1=0.9896, Rec=0.9897, Prec=0.9896
mnist pgd | Params={'epsilon': 0.0003, 'alpha': 0.006, 'iters': 10} | Acc=0.9897, F1=0.9896, Rec=0.9897, Prec=0.9896
mnist pgd | Params={'epsilon': 0.0004, 'alpha': 0.006, 'iters': 10} | Acc=0.9895, F1=0.9894, Rec=0.9895, Prec=0.9894
mnist pgd | Params={'epsilon': 0.0005, 'alpha': 0.006, 'iters': 10} | Acc=0.9895, F1=0.9894, Rec=0.9895, Prec=0.9894
mnist pgd | Params={'epsilon': 0.0006, 'alpha': 0.006, 'iters': 10} | Acc=0.9895, F1=0.9894, Rec=0.9895, Prec=0.9894
mnist pgd | Params={'epsilon': 0.0007, 'alpha': 0.006, 'iters': 10} | Acc=0.9895, F1=0.9894, Rec=0.9895, Prec=0.9894
mnist pgd | Params={'epsilon': 0.0008, 'alpha': 0.006, 'iters': 10} | Acc=0.9892, F1=0.9891, Rec=0.9892, Prec=0.9891
mnist pgd | Params={'epsilon': 0.0009, 'alpha': 0.006, 'iters': 10} | Acc=0.9892, F1=0.9891, Rec=0.9892, Prec=0.9891
mnist pgd | Params={'epsilon': 0.1, 'alpha': 0.006, 'iters': 10} | Acc=0.8272, F1=0.8262, Rec=0.8266, Prec=0.8287
mnist pgd | Params={'epsilon': 0.2, 'alpha': 0.006, 'iters': 10} | Acc=0.6961, F1=0.6978, Rec=0.6971, Prec=0.7075
mnist pgd | Params={'epsilon': 0.3, 'alpha': 0.006, 'iters': 10} | Acc=0.5444, F1=0.5475, Rec=0.5482, Prec=0.5715
mnist pgd | Params={'epsilon': 0.4, 'alpha': 0.006, 'iters': 10} | Acc=0.3799, F1=0.3801, Rec=0.3848, Prec=0.4101
mnist pgd | Params={'epsilon': 0.5, 'alpha': 0.006, 'iters': 10} | Acc=0.2413, F1=0.2422, Rec=0.2445, Prec=0.2683
mnist pgd | Params={'epsilon': 0.6, 'alpha': 0.006, 'iters': 10} | Acc=0.1380, F1=0.1370, Rec=0.1397, Prec=0.1673
mnist pgd | Params={'epsilon': 0.7, 'alpha': 0.006, 'iters': 10} | Acc=0.0687, F1=0.0672, Rec=0.0693, Prec=0.0926
mnist pgd | Params={'epsilon': 0.8, 'alpha': 0.006, 'iters': 10} | Acc=0.0318, F1=0.0291, Rec=0.0320, Prec=0.0433
mnist pgd | Params={'epsilon': 0.9, 'alpha': 0.006, 'iters': 10} | Acc=0.0156, F1=0.0133, Rec=0.0157, Prec=0.0219
